title_pt;title_en;year;rating;genre;sinopse;image
Your Name.;84. Your Name.;2016;8.4;Animação;Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?;https://m.media-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_QL75_UX380_CR0,0,380,562_.jpg
3 Idiotas;85. 3 Idiotas;2009;8.4;Comédia;Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.;https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY562_CR5,0,380,562_.jpg
Céu E Inferno;86. Céu E Inferno;1963;8.4;Policial;Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.;https://m.media-amazon.com/images/M/MV5BOTI4NTNhZDMtMWNkZi00MTRmLWJmZDQtMmJkMGVmZTEzODlhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX380_CR0,4,380,562_.jpg
Cafarnaum;89. Cafarnaum;2018;8.4;Drama;Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.;https://m.media-amazon.com/images/M/MV5BMDU2NTYyMTMtZTY0YS00ZWVlLTg3OTktOTY1NmM4MzExOTZhXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_QL75_UY562_CR2,0,380,562_.jpg
Vá e Veja;91. Vá e Veja;1985;8.4;Drama;Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.;https://m.media-amazon.com/images/M/MV5BZmU4YzNkNTEtYThkYS00YWIxLTg5OTgtZGNhMWYwMjY1ZDhlXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR11,0,380,562_.jpg
A Caça;95. A Caça;2012;8.3;Drama;Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.;https://m.media-amazon.com/images/M/MV5BYjg2Nzg3MzQtZDk0Mi00OTJjLWI4YTAtNzUwZTI3N2E0ZDIzXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR2,0,380,562_.jpg
Viver;97. Viver;1952;8.3;Drama;Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.;https://m.media-amazon.com/images/M/MV5BYWM1YmZkNTctZDAwNy00ZTY4LWFjMTktYzU4ZjViMmU1OTJmXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX380_CR0,4,380,562_.jpg
M, o Vampiro de Dusseldorf;100. M, o Vampiro de Dusseldorf;1931;8.3;Policial;Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.;https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_QL75_UX380_CR0,4,380,562_.jpg
O Fabuloso Destino de Amélie Poulain;105. O Fabuloso Destino de Amélie Poulain;2001;8.3;Comédia;Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.;https://m.media-amazon.com/images/M/MV5BZGEwNjkzYzktNzRkZC00OGUwLWE2OWEtZDg4YzE2MGRlOGQxXkEyXkFqcGdeQXVyMTU3NTI2OTky._V1_QL75_UX380_CR0,4,380,562_.jpg
Incêndios;109. Incêndios;2010;8.3;Drama;Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.;https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX380_CR0,4,380,562_.jpg
A Separação;115. A Separação;2011;8.3;Drama;Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.;https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX380_CR0,0,380,562_.jpg
Metrópolis;117. Metrópolis;1927;8.3;Drama;Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.;https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY562_CR0,0,380,562_.jpg
